ActorId,obs_date,n_events_Sum_12M,AvgTone_Avg_12M,AvgTone_Max_12M,AvgTone_Min_12M,NumMentions_Sum_12M,NumMentions_Avg_12M,NumSources_Sum_12M,NumSources_Avg_12M,GoldsteinScale_Avg_12M,GoldsteinScale_Max_12M,GoldsteinScale_Min_12M
GOVMEDBUS_STATE MEDIA,12/31/2014,2,1.400560224,1.400560224,1.400560224,7,3,2,1,-9,-9,-9
GOVMEDGOV_STATE MEDIA,12/31/2014,1,1.960784314,1.960784314,1.960784314,6,6,1,1,-4.4,-4.4,-4.4
GOVMEDGOV_TRANSPORT MINIST,12/31/2014,9,1.267740559,3.012048193,0.564971751,37,4,13,1,0.088888,0.4,0
GOVMEDMED_STATE MEDIA,12/31/2014,1,2.337938363,2.337938363,2.337938363,2,2,1,1,0,0,0
GOVMEDMED_TRANSPORT MINIST,12/31/2014,3,0.742574257,0.742574257,0.742574257,7,2,3,1,0,0,0
GOVMIL_AUTHORITIES,12/31/2014,2,2.8,2.8,2.8,20,10,2,1,5.2,5.2,5.2
GOVMIL_CHIEF OF DEFENCE STAFF,12/31/2014,2,2.406628952,2.715355805,2.097902098,10,5,2,1,1.5,3,0
GOVMIL_CHIEF OF STAFF,12/31/2014,2,-1.57480315,-1.57480315,-1.57480315,16,8,2,1,0,0,0
GOVMIL_CONSULATE,12/31/2014,1,1.333333333,1.333333333,1.333333333,5,5,1,1,5.2,5.2,5.2
GOVMIL_DEFENCE MINIST,12/31/2014,1610,1.864412516,7.668711656,-4.266666667,22061,13,2955,1,0.310062,10,-10
GOVMIL_DEFENCE SECRETARY,12/31/2014,28,2.188780675,3.944124897,0.964630225,178,6,31,1,-0.278571,7.4,-8
GOVMIL_DEFENSE DEPARTMENT,12/31/2014,85,2.014836467,4.444444444,0,656,7,128,1,2.297647,8.3,-9.5
GOVMIL_DEFENSE MINIST,12/31/2014,2085,1.947713003,9.090909091,-10.52631579,23656,11,3854,1,0.241294,10,-10
GOVMIL_DEFENSE SECRETARY,12/31/2014,23,2.140654904,3.861517976,-0.263157895,232,10,50,2,1.695652,7,-10
GOVMIL_DEPARTMENT OF DEFENSE,12/31/2014,56,3.167150007,7.981220657,0,608,10,110,1,1.767857,8.3,-9
GOVMIL_DIPLOMAT,12/31/2014,4,1.793830013,2.370030581,1.451905626,17,4,7,1,-2,-2,-2
GOVMIL_GOVERNMENT,12/31/2014,205,1.420739096,4.787234043,0,3649,17,715,3,-6.709756,7.4,-10
GOVMIL_GOVERNOR,12/31/2014,1,6.666666667,6.666666667,6.666666667,4,4,1,1,3.4,3.4,3.4
GOVMIL_INTERIOR MINIST,12/31/2014,17,1.978553931,3.816793893,0.980392157,249,14,31,1,-2.294117,7,-10
GOVMIL_JUNTA,12/31/2014,5,2.31277301,2.530329289,2.173329756,44,8,5,1,-7.2,4,-10
GOVMIL_KING,12/31/2014,1,2.958579882,2.958579882,2.958579882,2,2,1,1,7.4,7.4,7.4
GOVMIL_MILITARY GOVERNMENT,12/31/2014,3,2.431799905,3.163126977,1.99704142,11,3,3,1,0.333333,7,-4
GOVMIL_MILITARY JUNTA,12/31/2014,2,2.19947417,2.498184035,1.900764306,9,4,6,3,-0.5,6,-7
GOVMIL_MILITARY REGIME,12/31/2014,11,0.794025261,2.31990232,0.362318841,186,16,27,2,-1.327272,3.4,-2
GOVMIL_MILITARY RULE,12/31/2014,4,3.588351239,4.934886909,3.064351379,12,3,4,1,-1.275,3,-5
GOVMIL_MINIST,12/31/2014,2,3.309692671,3.309692671,3.309692671,8,4,2,1,7.4,7.4,7.4
GOVMIL_MINIST FOR CIVIL,12/31/2014,1,5.050505051,5.050505051,5.050505051,10,10,1,1,6,6,6
GOVMIL_MINIST FOR DEFENCE,12/31/2014,1,1.120448179,1.120448179,1.120448179,10,10,1,1,4,4,4
GOVMIL_MINIST FOR DEFENSE,12/31/2014,5,3.056409179,3.983228512,1.479289941,37,7,5,1,3.44,6,1
GOVMIL_MINIST OF DEFENCE,12/31/2014,189,2.273386957,8.737864078,0,1427,7,207,1,1.642328,10,-10
GOVMIL_MINIST OF DEFENSE,12/31/2014,208,1.99513887,4.660045837,-0.276752768,1302,6,241,1,1.5875,10,-10
GOVMIL_MINIST OF NATIONAL DEFENCE,12/31/2014,17,3.408091769,5.705705706,1.476793249,65,3,17,1,2.388235,6,0
GOVMIL_MINIST OF NATIONAL SECURITY,12/31/2014,3,2.536231884,2.536231884,2.536231884,14,4,3,1,0,0,0
GOVMIL_MINISTRY,12/31/2014,5,2.033921958,4.081632653,1.232394366,17,3,5,1,2.48,3,0.4
GOVMIL_NATIONAL SECURITY ADVISER,12/31/2014,40,2.282418965,4.054054054,1.166180758,513,12,63,1,2.065,9,-8
GOVMIL_NATIONAL SECURITY ADVISOR,12/31/2014,35,2.608347513,3.898635478,1.204819277,210,6,42,1,2.088571,9,-2
GOVMIL_NATIONAL SECURITY CHIEF,12/31/2014,17,1.676685896,2.113156101,0.803212851,108,6,27,1,-5.747058,4,-10
GOVMIL_NATIONAL SECURITY COUNCIL,12/31/2014,427,1.777971494,6.375838926,-1.880877743,5262,12,804,1,1.513583,7,-10
GOVMIL_NATIONAL SECURITY OFFICE,12/31/2014,3,0.720515738,2.161547213,0,9,3,3,1,0.166666,4,-7.5
GOVMIL_PRESIDENT,12/31/2014,1,3.708133971,3.708133971,3.708133971,3,3,1,1,0,0,0
GOVMIL_REGIME,12/31/2014,6,1.437360216,1.482408017,1.212121212,40,6,11,1,2.766666,8.3,-9
GOVMIL_SECRETARY OF DEFENSE,12/31/2014,58,2.677863007,5.737704918,0.447427293,442,7,65,1,2.977586,8.3,-10
GOVMIL_SOVEREIGN,12/31/2014,5,1.314965228,2.48447205,0.854700855,7,1,5,1,2.48,3,1.9
GOVMIL_STATE OWNED,12/31/2014,1,2.715546504,2.715546504,2.715546504,10,10,1,1,8.3,8.3,8.3
GOVMILBUS_DEFENSE MINIST,12/31/2014,1,1.944894652,1.944894652,1.944894652,7,7,1,1,3.5,3.5,3.5
GOVMILCOP_DEFENCE MINIST,12/31/2014,9,1.849917266,3.75,0,48,5,10,1,1.644444,6,0
GOVMILCOP_DEFENSE MINIST,12/31/2014,15,1.537377526,3.468208092,0,82,5,16,1,1.52,6,-2
GOVMILCOP_MINIST OF DEFENCE,12/31/2014,1,1.958525346,1.958525346,1.958525346,3,3,1,1,-2,-2,-2
GOVMILCOP_MINIST OF DEFENSE,12/31/2014,2,3.770028275,3.770028275,3.770028275,5,2,2,1,0,0,0
GOVMILCOP_NATIONAL SECURITY ADVISER,12/31/2014,14,1.903086418,3.406144282,0.84317032,112,8,17,1,-0.971428,1,-7.2
GOVMILCOP_NATIONAL SECURITY ADVISOR,12/31/2014,1,1.304347826,1.304347826,1.304347826,10,10,1,1,1,1,1
GOVMILCOP_REGIME,12/31/2014,2,1.696065129,1.696065129,1.696065129,10,5,2,1,8.3,8.3,8.3
GOVMILELI_DEFENCE MINIST,12/31/2014,2,2.145922747,2.145922747,2.145922747,12,6,2,1,2.35,2.8,1.9
GOVMILGOV_DEFENCE MINIST,12/31/2014,5,1.723127816,2.380952381,0.93676815,25,5,5,1,0.6,3,0
GOVMILGOV_DEFENSE MINIST,12/31/2014,6,1.498363515,1.910828025,0.943396226,43,7,6,1,-0.166666,6,-10
GOVMILGOVCOP_DEPARTMENT OF DEFENSE,12/31/2014,1,2.725779967,2.725779967,2.725779967,6,6,1,1,-2,-2,-2
GOVMILGOVMIL_DEFENCE MINIST,12/31/2014,1,5.347593583,5.347593583,5.347593583,6,6,1,1,0,0,0
GOVMILLAB_DEFENCE MINIST,12/31/2014,2,2.159599684,2.159599684,2.159599684,10,5,2,1,0,0,0
GOVMILLAB_DEFENSE MINIST,12/31/2014,1,0.64516129,0.64516129,0.64516129,7,7,1,1,1,1,1
GOVMILLEG_DEFENCE MINIST,12/31/2014,3,3.180684624,5.839416058,1.228235083,22,7,5,1,1,3,0
GOVMILLEG_DEFENSE MINIST,12/31/2014,5,1.395168376,1.845819761,0.952380952,692,138,62,12,3,3,3
GOVMILMED_DEFENCE MINIST,12/31/2014,55,1.274084301,3.384615385,0,943,17,127,2,-1.727272,5.2,-10
GOVMILMED_DEFENSE DEPARTMENT,12/31/2014,7,1.598999139,2.644230769,1.309328969,21,3,7,1,1.257142,2.8,1
GOVMILMED_DEFENSE MINIST,12/31/2014,83,1.400514702,3.929273084,0,2435,29,328,3,-1.315662,4,-10
GOVMILMED_MINIST OF DEFENCE,12/31/2014,4,2.507770746,2.731277533,2.284263959,22,5,4,1,0.75,8,-5
GOVMILMED_NATIONAL SECURITY COUNCIL,12/31/2014,35,1.925410183,3.835616438,0,369,10,70,2,-3.928571,3.4,-10
GOVMILMIL_DEFENCE MINIST,12/31/2014,16,2.827777389,3.505154639,1.308809034,100,6,27,1,-1.03125,6,-10
GOVMILMIL_DEFENSE MINIST,12/31/2014,6,1.974428636,3.468208092,0.308641975,48,8,8,1,-2.966666,3,-10
GOVMILMIL_MINIST OF DEFENCE,12/31/2014,5,3.007518797,3.007518797,3.007518797,20,4,5,1,1,1,1
GOVMILMILCOP_DEFENCE MINIST,12/31/2014,2,4.282115869,4.282115869,4.282115869,2,1,2,1,2.35,2.8,1.9
GOVMILSPY_DEFENSE MINIST,12/31/2014,2,4.761904762,4.761904762,4.761904762,17,8,2,1,-2,-2,-2
GOVOPP_ADMINISTRATION,12/31/2014,1,1.282051282,1.282051282,1.282051282,2,2,1,1,-7.2,-7.2,-7.2
GOVOPP_GOVERNMENT,12/31/2014,1115,2.028362806,14.28571429,-5.538461538,19431,17,2136,1,-4.236591,10,-10
